Level,Subject,Awarded Count 2025,Awarded Count 2024,Awarded Count 2023,Awarded Count 2022,Awarded Count 2021,Awarded Count 2020,Awarded Count 2019
SCQF5,Administration: Medical (Administrative Secretary),0,0,0,0,[c],0,0
SCQF5,Administration: Medical Receptionist,[c],5,[c],[c],[c],0,[c]
SCQF5,Administration: Office Skills and Services,40,30,15,15,10,15,30
SCQF5,Animation,15,30,30,20,5,15,0
SCQF5,Applied Sciences,235,180,140,90,65,0,[z]
SCQF5,Aquaculture,5,10,[c],[c],0,[c],0
SCQF5,Art and Design,115,80,65,80,30,45,25
SCQF5,Art and Design: Digital Media,20,30,45,45,20,50,60
SCQF5,Barbering,25,25,25,10,0,0,20
SCQF5,Beauty Massage,0,[c],[c],[c],0,0,0
SCQF5,Beekeeping,30,60,50,40,15,5,[c]
SCQF5,Building Services Engineering,50,55,100,150,90,155,175
SCQF5,Built Environment,50,45,20,10,20,15,[z]
SCQF5,Business and Marketing,290,120,45,60,35,25,10
SCQF5,Business with Information Technology,485,435,315,210,180,170,75
SCQF5,Computer Games Development,"1,120","1,065","1,000",785,640,660,530
SCQF5,Computer Networks,80,65,25,10,0,[z],[z]
SCQF5,Computer Networks and Systems,10,15,50,60,40,65,60
SCQF5,Computers and Digital Photography,15,5,5,5,[c],5,[c]
SCQF5,Computing Technologies,25,[z],[z],[z],[z],[z],[z]
SCQF5,Construction,30,45,10,65,80,180,140
SCQF5,Construction Operations,60,30,[c],0,10,[c],5
SCQF5,Construction Skills,875,600,600,570,150,[z],[z]
SCQF5,Construction: Bricklaying at SCQF Level 5,60,65,35,45,25,55,30
SCQF5,Construction: Carpentry and Joinery at SCQF Level 5,275,175,65,135,105,75,100
SCQF5,Construction: General Construction Operations at SCQF Level 5,[z],[z],[z],0,0,0,5
SCQF5,Construction: Multi Trade at SCQF Level 5,80,140,30,145,80,70,60
SCQF5,Construction: Painting and Decorating at SCQF Level 5,135,115,30,50,60,15,65
SCQF5,Construction: Plastering at SCQF Level 5,5,15,10,25,15,40,35
SCQF5,Construction: Roofing at SCQF Level 5,10,0,0,0,0,0,5
SCQF5,Construction: Wall and Floor Tiling at SCQF Level 5,0,15,0,10,[c],10,20
SCQF5,Contemporary Gaelic Songwriting and Production,0,0,0,0,0,0,0
SCQF5,"Costume: An Introduction to Cutting, Sewing and Surface Decoration",10,[c],[c],0,0,0,[z]
SCQF5,Criminology,800,595,390,155,20,0,[z]
SCQF5,Crofting,0,[c],0,0,[c],0,0
SCQF5,Customer Service,170,90,65,15,15,15,[z]
SCQF5,Cyber Security,390,370,310,375,365,310,315
SCQF5,Dance,5,[c],5,[c],[c],0,0
SCQF5,Data Science,190,195,135,95,30,5,[z]
SCQF5,Digital Literacies,0,10,0,[z],[z],[z],[z]
SCQF5,Digital Media,155,150,165,205,105,120,100
SCQF5,Digital Media Animation,15,25,15,20,25,55,85
SCQF5,Digital Media Editing,[z],[z],[z],[z],10,20,30
SCQF5,Digital Passport,20,30,10,40,60,70,75
SCQF5,Drawing Skills,95,35,55,25,25,15,20
SCQF5,Engineering,45,10,10,[z],[z],[z],[z]
SCQF5,Enterprise and Employability,115,135,80,85,85,140,130
SCQF5,Esports,155,95,25,[z],[z],[z],[z]
SCQF5,Eye Treatments,[c],0,[c],0,0,0,0
SCQF5,Facial and Eye Treatments,0,0,[z],[z],[z],[z],[z]
SCQF5,Film and Media,60,50,25,35,10,10,[z]
SCQF5,Furniture Making,480,170,70,40,45,[z],[z]
SCQF5,Hand and Foot Care and Nail Art,0,[c],[z],[z],[z],[z],[z]
SCQF5,Harris Tweed,0,0,0,0,0,0,0
SCQF5,Highways Maintenance - Excavation and Reinstatement,[c],5,5,15,[c],10,10
SCQF5,Highways Maintenance - Kerbs and Channels,15,15,0,0,0,0,0
SCQF5,Hospitality,30,35,40,15,[c],0,[z]
SCQF5,Internet Technology,[z],[z],[z],[z],[z],[z],25
SCQF5,Investigation of Modern Agriculture,30,20,15,15,5,0,[z]
SCQF5,Jewellery: Basic Techniques 1,55,30,15,[c],[c],0,0
SCQF5,Jewellery: Basic Techniques 2,25,5,5,0,[c],0,0
SCQF5,Long Hair Design with Make-Up,[c],0,[c],[c],0,[c],5
SCQF5,Make-Up Skills,[c],5,[c],[c],[c],[c],5
SCQF5,Make-up and Eye Treatments,0,[c],[z],[z],[z],[z],[z]
SCQF5,Manicure and Pedicure Skills,[c],0,0,0,[c],0,0
SCQF5,Maritime Studies,40,20,35,20,10,0,[z]
SCQF5,Mobile Technology,[z],0,0,0,[c],0,[c]
SCQF5,Nail Enhancements,[z],[z],[z],0,0,0,0
SCQF5,Oral Health Care: an Introduction,0,[c],[c],[c],[c],[c],0
SCQF5,PC Passport,255,200,240,145,125,185,150
SCQF5,PC Passport: Intermediate,[z],[z],[z],[z],[z],0,[c]
SCQF5,Painting,30,15,50,25,15,15,10
SCQF5,Photography,500,470,370,310,240,245,195
SCQF5,Playwork and Childcare,[c],[c],[c],[c],[c],10,10
SCQF5,Practical Science,[z],[c],[c],15,70,55,15
SCQF5,Professional Cookery,75,60,40,60,30,5,[z]
SCQF5,Psychology,70,20,20,5,5,10,[z]
SCQF5,Racehorse Exercise and Performance,[c],0,0,[c],0,0,[z]
SCQF5,Racing Yard Routine,[c],[c],[c],[c],5,0,[z]
SCQF5,Radio Broadcasting,10,10,25,20,20,15,10
SCQF5,Rural Skills,100,80,50,35,50,60,35
SCQF5,Scottish Bagpipes,15,55,20,30,30,35,75
SCQF5,Scottish Pipe Band Drumming,5,15,10,5,5,5,30
SCQF5,Specialist Racehorse Care,[c],[c],[c],[c],[c],0,[z]
SCQF5,Sport and Fitness: Individual Sports,85,90,100,85,85,30,15
SCQF5,Sport and Fitness: Outdoor Sports,[c],10,0,0,0,0,[c]
SCQF5,Sport and Fitness: Team Sports,"1,390","1,000",735,530,285,190,130
SCQF5,Sports Coaching,25,[z],[z],[z],[z],[z],[z]
SCQF5,Sports Coaching: Angling,[z],0,0,0,0,0,[c]
SCQF5,Sports Coaching: Angling Game (Level 2),[z],0,[c],0,0,0,[c]
SCQF5,Sports Coaching: Badminton (Level 2),0,0,0,[c],0,[c],[c]
SCQF5,Sports Coaching: Basketball (Level 2),[z],0,[c],5,0,[c],10
SCQF5,Sports Coaching: Boccia (Level 2),[z],0,0,0,0,[c],0
SCQF5,Sports Coaching: Coaching Diving (Level 2),0,[c],[c],[c],5,[c],5
SCQF5,Sports Coaching: Coaching Swimming (Level 2),[c],10,15,20,15,20,15
SCQF5,Sports Coaching: Coaching Water Polo (Level 2),[z],0,0,0,0,[c],0
SCQF5,Sports Coaching: Curling (Level 2),[c],[c],[c],10,0,[c],[c]
SCQF5,Sports Coaching: Cycling (Level 2),[z],0,0,0,0,0,0
SCQF5,Sports Coaching: Equestrian British Dressage (Level 2),[z],0,0,0,0,[c],0
SCQF5,Sports Coaching: Equestrian Generic (Level 2),[z],0,0,0,[c],[c],[c]
SCQF5,Sports Coaching: Football,[z],[z],[c],0,0,5,0
SCQF5,Sports Coaching: General Gymnastics (Level 2),0,[c],[c],[c],0,[c],[c]
SCQF5,Sports Coaching: Gymnastics Acrobatic (Level 2),0,[c],0,[c],0,[c],0
SCQF5,Sports Coaching: Gymnastics Men's Artistic (Level 2),10,0,[c],0,[c],[c],0
SCQF5,Sports Coaching: Gymnastics Pre-School (Level 2),[z],0,0,0,0,0,0
SCQF5,Sports Coaching: Gymnastics Rhythmic (Level 2),0,0,0,0,0,0,[c]
SCQF5,Sports Coaching: Gymnastics Trampolining (Level 2),[c],0,0,[c],0,[c],[c]
SCQF5,Sports Coaching: Gymnastics Women's Artistic (Level 2),0,0,5,5,0,5,10
SCQF5,Sports Coaching: Hockey (Level 2),[z],0,0,0,[c],0,[c]
SCQF5,Sports Coaching: Judo (Level 2),[z],0,10,10,0,10,0
SCQF5,Sports Coaching: Multi-skills (Level 2),0,15,0,0,0,15,25
SCQF5,Sports Coaching: Netball (Level 2),0,0,0,0,0,[c],0
SCQF5,Sports Coaching: Orienteering (Level 2),[z],0,[c],0,[c],[c],[c]
SCQF5,Sports Coaching: Rugby Union (Level 2),0,0,0,10,0,285,335
SCQF5,Sports Coaching: Teaching Aquatics (Level 2),0,0,0,[c],0,10,45
SCQF5,Sports Coaching: Team Gymnastics (Level 2),[z],0,[c],[c],0,[c],[c]
SCQF5,Sports Coaching: Tennis (Level 2),0,0,0,45,15,40,35
SCQF5,Sports Coaching: Triathlon (Level 2),0,[c],5,25,[c],10,15
SCQF5,Sports Coaching: Tumbling (Level 2),0,0,0,0,0,0,5
SCQF5,Supply Chain Operations,0,0,0,0,0,5,[c]
SCQF5,Television Production,40,25,25,20,5,25,50
SCQF5,Thoroughbred Preparation,[c],5,[c],[c],0,0,[z]
SCQF5,Visual Communications,75,15,40,30,5,15,15
SCQF5,Water Operations: an Introduction,[z],[z],[z],[z],[z],0,[c]
SCQF5,Web Design,345,280,145,195,185,125,55
SCQF5,Web Design Fundamentals,[z],[z],[z],[z],[c],5,30
SCQF5,Website Enterprise,[z],[z],[z],[z],[z],15,10
SCQF6,Accountancy,60,60,30,45,40,75,0
SCQF6,Achieving Excellence in Sport,515,395,255,160,125,165,55
SCQF6,Acting and Performance,90,55,85,55,55,85,15
SCQF6,Art and Design: Digital Media,20,15,35,15,15,30,15
SCQF6,Business Skills,210,155,155,180,115,80,10
SCQF6,Business with Information Technology,535,405,265,265,160,185,165
SCQF6,Computer Games Development,705,600,460,405,340,300,190
SCQF6,Computing Technologies,10,[z],[z],[z],[z],[z],[z]
SCQF6,Creative Hairdressing,[z],[z],[z],[z],[z],0,0
SCQF6,"Creative and Digital Media: Technologies, Processes and Practices",85,115,95,115,145,130,40
SCQF6,Criminology,420,300,140,60,30,0,[z]
SCQF6,Customer Service,255,135,125,55,50,40,[z]
SCQF6,Cyber Security,545,500,350,360,345,295,165
SCQF6,Data Science,100,105,45,30,30,0,[z]
SCQF6,Digital Literacies,[c],25,0,[z],[z],[z],[z]
SCQF6,Digital Media,115,45,30,20,[c],0,[z]
SCQF6,Digital Media Production,[z],[z],15,[c],40,30,20
SCQF6,Digital Passport,[c],[c],15,0,10,5,15
SCQF6,Enterprise and Business,70,75,35,25,20,25,15
SCQF6,Enterprise and Employability,70,75,[c],[z],[z],[z],[z]
SCQF6,Esports,75,75,0,[z],[z],[z],[z]
SCQF6,Events,60,45,20,25,20,[c],[c]
SCQF6,Exercise and Fitness Leadership,"1,270","1,025",750,700,590,565,380
SCQF6,Film and Media,125,85,70,35,40,20,5
SCQF6,Financial Services,20,30,5,20,[c],30,10
SCQF6,Food Manufacture,[c],10,5,[c],10,5,0
SCQF6,Health and Social Care: Promoting Reablement,0,0,0,[c],[c],[c],5
SCQF6,Health and Social Care: Skills for Practice,20,5,[c],[c],5,15,15
SCQF6,Horse Care,5,[c],[c],[c],0,[c],[c]
SCQF6,Hospitality,60,20,20,[c],10,0,[z]
SCQF6,Jewellery: Advanced Techniques,[c],0,0,0,0,0,0
SCQF6,Journalism,130,130,60,35,30,35,5
SCQF6,Laboratory Science,[c],10,25,[c],[c],5,[c]
SCQF6,Leadership for the Racehorse Industry,0,0,0,0,[z],[z],[z]
SCQF6,Legal Studies,110,75,50,35,25,30,25
SCQF6,Local Food Production,0,[c],0,0,0,0,0
SCQF6,Music Business,40,40,20,15,25,30,25
SCQF6,Music Performing,160,115,80,90,45,25,20
SCQF6,Music for Wellbeing,0,[c],5,[c],0,0,0
SCQF6,Musical Theatre,45,35,15,15,35,50,30
SCQF6,Oral Health Care,0,[c],[c],[c],[c],[c],0
SCQF6,Organising Volunteering Events in Sport,20,15,15,25,10,10,10
SCQF6,PC Passport,180,170,145,150,180,160,170
SCQF6,Palliative and End of Life Care,0,0,0,0,0,[z],[z]
SCQF6,Play in a Sports Environment,185,100,125,125,105,80,75
SCQF6,Professional Computer Fundamentals,35,60,30,50,120,95,125
SCQF6,Professional Cookery,[c],10,0,[c],[c],0,[z]
SCQF6,Professional Theatre Preparation,35,50,20,25,25,25,20
SCQF6,Psychology,55,80,40,5,10,0,[z]
SCQF6,Racehorse Care and Management,0,0,0,0,[z],[z],[z]
SCQF6,Scientific Technologies,190,135,150,110,85,65,15
SCQF6,Scottish Bagpipes,25,40,15,15,15,25,30
SCQF6,Scottish Pipe Band Drumming,5,10,10,10,10,15,25
SCQF6,Social Services and Healthcare,50,50,25,40,40,35,25
SCQF6,Social Services: Children and Young People,30,45,20,45,50,40,25
SCQF6,Software Development,205,210,170,160,240,205,130
SCQF6,Sound Production: Live,10,[c],5,[c],[c],0,10
SCQF6,Sound Production: Recording,105,85,70,45,80,40,50
SCQF6,Sports Coaching,35,[z],[z],[z],[z],[z],[z]
SCQF6,Sports Coaching: Badminton (Level 3),[z],0,0,[c],0,0,0
SCQF6,Sports Coaching: Basketball (Level 3),[z],0,0,0,[c],0,0
SCQF6,Sports Coaching: Coaching Swimming (Level 3),0,5,0,[c],5,[c],[c]
SCQF6,Sports Coaching: Equestrian British Dressage (Level 3),[z],0,0,0,0,0,0
SCQF6,Sports Coaching: Equestrian British Eventing (Level 3),0,0,0,0,0,0,[c]
SCQF6,Sports Coaching: Equestrian Endurance (Level 3),[z],0,0,0,0,0,0
SCQF6,Sports Coaching: Equestrian Generic (Level 3),[z],0,0,0,0,0,[c]
SCQF6,Sports Coaching: Football,[z],[z],[z],[z],[z],15,0
SCQF6,Sports Coaching: Judo (Level 3),[z],0,0,0,0,0,5
SCQF6,Sports Coaching: Netball (Level 3),[z],0,0,0,0,0,0
SCQF6,Sports Coaching: Orienteering (Level 3),[z],[z],[z],[z],[z],0,[c]
SCQF6,Sports Coaching: Rugby Union (Level 3),0,0,0,20,15,20,25
SCQF6,Sports Development,990,775,695,535,410,315,215
SCQF6,Technical Theatre in Practice,45,25,15,25,20,10,5
SCQF6,Theory and Approaches to Youth Work,145,25,10,20,0,[c],[c]
SCQF6,Travel Agency Skills,[z],[c],[z],0,0,0,0
SCQF6,Travel and Tourism,35,50,[c],0,[z],[z],[z]
SCQF6,Woodland Operations,0,0,0,5,0,[c],0
SCQF6,Zoo Animal Behaviour and Welfare,0,0,[c],[c],[c],[c],[c]
