Sport Coaching  Table Tennis    ,0
Sport Coaching  Teaching Aquatics    ,5
Sport Coaching  Team Gymnastics    ,0
Sport Coaching  Tennis    ,0
Sport Coaching  Triathlon    ,0
Sport Coaching  Tumbling    ,0
Tenancy,80
Tenancy and Citizenship,0
Administration  Information Technology and Audio,45
Administration  Medical  Administrative Secretary ,15
Administration  Medical Receptionist,20
Administration  Office Skills and Services,130
Animation,35
Applied Sciences,420
Aquaculture,5
Art and Design,415
Art and Design  Digital Media,60
Barbering,30
Beauty Massage,0
Beekeeping,65
Building Services Engineering,55
Built Environment,65
Business and Marketing,515
Business with Information Technology,1 045
Computer Games Development,1 275
Computer Networks,90
Computer Networks and Systems,10
Computers and Digital Photography,25
Computing Technologies,25
Construction,35
Construction Operations,65
Construction Skills,920
Construction  Bricklaying at    ,60
Construction  Carpentry and Joinery at    ,290
Construction  General Construction Operations at    ,0
Construction  Multi Trade at    ,85
Construction  Painting and Decorating at    ,170
Construction  Plastering at    ,10
Construction  Roofing at    ,10
Construction  Wall and Floor Tiling at    ,0
Contemporary Gaelic Songwriting and Production,0
Costume  An Introduction to Cutting Sewing and Surface Decoration,145
Criminology,2 340
Crofting,0
Customer Service,380
Cyber Security,490
Dance,85
Data Science,315
Digital Literacies,0
Digital Media,240
Digital Media Animation,35
Digital Media Editing,0
Digital Passport,30
Drawing Skills,230
Engineering,45
Enterprise and Employability,295
ESport,160
Eye Treatments,5
Facial and Eye Treatments,20
Film and Media,120
Furniture Making,555
Hand and Foot Care and Nail Art,35
Harris Tweed,0
Highways Maintenance - Excavation and Reinstatement,5
Highways Maintenance - Kerbs and Channels,15
Hospitality,90
Internet Technology,0
Investigation of Modern Agriculture,45
Jewellery  Basic Techniques 1,135
Jewellery  Basic Techniques 2,70
Long Hair Design with Make-Up,205
Make-Up Skills,175
Make-up and Eye Treatments,55
Manicure and Pedicure Skills,5
Maritime Studies,45
Mobile Technology,0
Nail Enhancements,0
Oral Health Care  an Introduction,10
PC Passport,435
PC Passport  Intermediate,0
Painting,105
Photography,1 515
Playwork and Childcare,85
Practical Science,0
Professional Cookery,155
Psychology,300
Racehorse Exercise and Performance,5
Racing Yard Routine,25
Radio Broadcasting,25
Rural Skills,185
Scottish Bagpipes,15
Scottish Pipe Band Drumming,10
Specialist Racehorse Care,15
Sport and Fitness  Individual Sport,155
Sport and Fitness  Outdoor Sport,5
Sport and Fitness  Team Sport,1 695
Sport Coaching,35
Sport Coaching  Angling,0
Sport Coaching  Angling Game    ,0
Sport Coaching  Badminton    ,0
Sport Coaching  Basketball    ,0
Sport Coaching  Boccia    ,0
Sport Coaching  Coaching Diving    ,0
Sport Coaching  Coaching Swimming    ,5
Sport Coaching  Coaching Water Polo    ,0
Sport Coaching  Curling    ,5
Sport Coaching  Cycling    ,0
Sport Coaching  Equestrian British Dressage    ,0
Sport Coaching  Equestrian Generic    ,0
Sport Coaching  Football,0
Sport Coaching  General Gymnastics    ,0
Sport Coaching  Gymnastics Acrobatic    ,0
Sport Coaching  Gymnastics Men's Artistic    ,10
Sport Coaching  Gymnastics Pre-School    ,0
Sport Coaching  Gymnastics Rhythmic    ,0
Sport Coaching  Gymnastics Trampolining    ,5
Sport Coaching  Gymnastics Women's Artistic    ,10
Sport Coaching  Hockey    ,0
Sport Coaching  Judo    ,0
Sport Coaching  Multi-skills    ,5
Sport Coaching  Netball    ,0
Sport Coaching  Orienteering    ,0
Sport Coaching  Rugby Union    ,0
Sport Coaching  Teaching Aquatics    ,0
Sport Coaching  Team Gymnastics    ,0
Sport Coaching  Tennis    ,0
Sport Coaching  Triathlon    ,0
Sport Coaching  Tumbling    ,5
Supply Chain Operations,0
Television Production,80
Thoroughbred Preparation,15
Visual Communications,170
Water Operations  an Introduction,0
Web Design,460
Web Design Fundamentals,0
Website Enterprise,0
Accountancy,100
Achieving Excellence in Sport,590
Acting and Performance,245
Art and Design  Digital Media,55
Business Skills,370
Business with Information Technology,1 130
Computer Games Development,780
Computing Technologies,10
Creative Hairdressing,0
Creative and Digital Media  Technologies Processes and Practices,155
Criminology,1 395
Customer Service,485
Cyber Security,645
Data Science,190
Digital Literacies,5
Digital Media,170
Digital Media Production,0
Digital Passport,15
Enterprise and Business,145
Enterprise and Employability,195
ESport,85
Events,215
Exercise and Fitness Leadership,1 720
Film and Media,275
Financial Services,30
Food Manufacture,10
Health and Social Care  Promoting Reablement,0
Health and Social Care  Skills for Practice,110
Horse Care,50
Hospitality,155
Jewellery  Advanced Techniques,5
Journalism,370
Laboratory Science,5
Leadership for the Racehorse Industry,0
Legal Studies,325
Local Food Production,0
Music Business,60
Music Performing,310
Music for Wellbeing,5
Musical Theatre,280
Oral Health Care,10
Organising Volunteering Events in Sport,25
PC Passport,380
Palliative and End of Life Care,5
Play in a Sport Environment,315
Professional Computer Fundamentals,45
Professional Cookery,5
Professional Theatre Preparation,120
Psychology,285
Racehorse Care and Management,5
Scientific Technologies,325
Scottish Bagpipes,30
Scottish Pipe Band Drumming,10
Social Services and Healthcare,500
Social Services  Children and Young People,815
Software Development,295
Sound Production  Live,10
Sound Production  Recording,145
Sport Coaching,45
Sport Coaching  Badminton    ,0
Sport Coaching  Basketball    ,0
Sport Coaching  Coaching Swimming    ,0
Sport Coaching  Equestrian British Dressage    ,0
Sport Coaching  Equestrian British Eventing    ,0
Sport Coaching  Equestrian Endurance    ,0
Sport Coaching  Equestrian Generic    ,0
Sport Coaching  Football,0
Sport Coaching  Judo    ,0
Sport Coaching  Netball    ,0
Sport Coaching  Orienteering    ,0
Sport Coaching  Rugby Union    ,0
Sport Development,1 515
Technical Theatre in Practice,120
Theory and Approaches to Youth Work,305
Travel Agency Skills,0
Travel and Tourism,140
Woodland Operations,0
Zoo Animal Behaviour and Welfare,0
